#Rev: sensefly/geoinfo/3
fileName	latitude	longitude	altitude_wgs84
DSC07834.JPG	35.9752606297	139.1114097078	423.1815490723	
DSC07835.JPG	35.9754916350	139.1109628421	424.1498107910	
DSC07836.JPG	35.9757147116	139.1105125102	422.3073120117	
DSC07837.JPG	35.9759614164	139.1100602813	422.3163146973	
DSC07838.JPG	35.9761812960	139.1095840841	422.3123779297	
DSC07839.JPG	35.9764194812	139.1091382692	422.7219238281	
DSC07840.JPG	35.9766414966	139.1086581732	422.2706604004	
DSC07841.JPG	35.9768719686	139.1081906483	423.2185363770	
DSC07842.JPG	35.9771304806	139.1077258421	423.3202514648	
DSC07843.JPG	35.9773530927	139.1072416250	423.3781433105	
DSC07844.JPG	35.9775904269	139.1067961731	422.0297851562	
DSC07845.JPG	35.9778294839	139.1063532059	421.9931335449	
DSC07846.JPG	35.9780664915	139.1058758440	421.5263366699	
DSC07847.JPG	35.9782891469	139.1054243682	421.8435974121	
DSC07848.JPG	35.9785235075	139.1049578028	422.0868835449	
DSC07849.JPG	35.9787588168	139.1045014266	423.2828674316	
DSC07850.JPG	35.9790266351	139.1040459184	424.8040771484	
DSC07851.JPG	35.9791902752	139.1035177022	427.2256164551	
DSC07852.JPG	35.9794927730	139.1030955752	423.2348937988	
DSC07853.JPG	35.9797036832	139.1025969920	422.7967529297	
DSC07854.JPG	35.9799420765	139.1021744687	422.8195800781	
DSC07855.JPG	35.9801818618	139.1016741806	422.0975952148	
DSC07856.JPG	35.9804040989	139.1012101849	421.4670715332	
DSC07857.JPG	35.9806522060	139.1007454258	421.0205993652	
DSC07858.JPG	35.9808899060	139.1002628869	421.9234008789	
DSC07859.JPG	35.9811415937	139.0997803559	423.6542663574	
DSC07860.JPG	35.9813616950	139.0992992452	425.1016235352	
DSC07861.JPG	35.9817609386	139.0998042063	421.2406005859	
DSC07862.JPG	35.9815310896	139.1003351322	424.0732116699	
DSC07863.JPG	35.9812436213	139.1008206264	423.8975219727	
DSC07864.JPG	35.9809948987	139.1013030464	422.2674255371	
DSC07865.JPG	35.9807636034	139.1018079139	421.6001892090	
DSC07866.JPG	35.9805330214	139.1022992438	421.7807006836	
DSC07867.JPG	35.9802510310	139.1027816537	421.6111145020	
DSC07868.JPG	35.9800576179	139.1032953565	424.1558532715	
